sample,S,site,lat,long,site,Date,Collector,micro site,,,
NSW1156870,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ5,,,
NSW1156921,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ2,,,
NSW1156946,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ3,,,
NSW1156920,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ3,,,
NSW1156886,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ5,,,
NSW1156947,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ5,,,
NSW1156884,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ6,,,
NSW1156915,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ6,,,
NSW1158521,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ6,,,
NSW1158520,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ6,,,
NSW1158522,Newnes State Park,NSP22_1_22MJ,-33.4098,150.2284,NSP22_1_22MJ,22/01/2022,Mira Jordan,NSP22_1_22MJ6,,,
NSW1156875,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1156945,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1156935,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1156934,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1156931,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1158529,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1158528,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ1,,,
NSW1158542,Ikara,IK8_10_21MJ,-33.5555,150.2782,IK8_10_21MJ,8/10/2021,Mira Jordan,IK8_10_21MJ2,,,
NSW1156932,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ1,,,
NSW1158541,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ1,,,
NSW1156885,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ2,,,
NSW1156940,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ2,,,
NSW1156887,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ3,,,
NSW1156891,Narrow Neck,NN25_1_22MJ,-33.7315,150.2841,NN25_1_22MJ,25/01/2022,Mira Jordan,NN25_1_22MJ3,,,
NSW1156930,Ikara,IK24_1_22MJ,-33.5555,150.2782,IK24_1_22MJ,24/01/2022,Mira Jordan,IK24_1_22MJ3,,,
NSW1156876,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1156912,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1156894,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1156924,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1156922,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1158527,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ1,,,
NSW1156872,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ2,,,
NSW1156866,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ2,,,
NSW1156919,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ3,,,
NSW1156871,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ4,,,
NSW1156867,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ4,,,
NSW1156877,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1156911,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1158526,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1158525,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1158524,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ5,,,
NSW1156880,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ6,,,
NSW1156890,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ7,,,
NSW1156899,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ3,,,
NSW1156939,Kanangra,KA17_11_21MJ,-33.9873,150.1153,KA17_11_21MJ,17/11/2021,Mira Jordan,KA17_11_21MJ7,,,
NSW1156881,Braidwood Rd West,BRW22_12_22MJ,-35.0774,150.2033,BRW22_12_22MJ,22/12/2022,Mira Jordan,BRW22_12_22MJ1,,,
