sample,site,lat,long,pik,RR1,RR2,RR3,RR4,pop,S,group,species,Idnotes,micro_,
NSW1048827,S2178_2018-06-19,-30.886186,153.075725,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,,,Arakoon,North_Coast,helianthi,,,
NSW1027525,S2178_2018-06-19,-30.886363,153.075758,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,,,Arakoon,North_Coast,helianthi,,,
NSW1048823,S2178_2018-06-19,-30.886182,153.075719,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,,,Arakoon,North_Coast,helianthi,,,
NSW1048824,S2178_2018-06-19,-30.886448,153.07573,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-20,,Arakoon,North_Coast,helianthi,,,
NSW1048828,S2178_2018-06-19,-30.886525,153.075859,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,,,Arakoon,North_Coast,helianthi,,,
NSW1048826,S2178_2018-06-19,-30.886277,153.07561,popnInfo003147,S2178_2018-06-19,S2178_2018-06-19,S2178_2018-06-19,,,Arakoon,North_Coast,helianthi,,,
NSW1006873,S46_2015-11-11,-34.325441,150.475397,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1006798,S46_2015-11-11,-34.325318,150.475527,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1006713,S46_2015-11-11,-34.32503,150.474264,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1006707,S46_2015-11-11,-34.324677,150.473635,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1006714,S46_2015-11-11,-34.325154,150.474102,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1006820,S46_2015-11-11,-34.325541,150.475165,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11,,,Bargo_SCA,Central_West,helianthi,,,
NSW1021123,S249_2017-04-13,-33.401663,151.477588,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1021139,S249_2017-04-13,-33.400994,151.477404,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1021129,S249_2017-04-13,-33.401428,151.477685,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1021135,S249_2017-04-13,-33.400953,151.477753,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,S249_2017-04-14,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1021117,S249_2017-04-13,-33.401743,151.477528,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1021141,S249_2017-04-13,-33.400897,151.477311,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13,,,Bateau_Bay,Sydney_Coast,helianthi,,,
NSW1006891,Wollemi_National_Park_2015-10-15,-33.49153,150.49847,No_data,Wollemi_National_Park_2015-10-15,Wollemi_2015-10-qq,Wollemi_2015-10-qq,,,Bilpin,Central_West,helianthi,,,
NSW1006893,Wollemi_National_Park_2015-10-15,-33.49162,150.49837,No_data,Wollemi_National_Park_2015-10-15,Wollemi_2015-10-qq,Wollemi_2015-10-qq,,,Bilpin,Central_West,helianthi,,,
NSW1006875,Wollemi_National_Park_2015-10-15,-33.49126,150.49774,No_data,Wollemi_National_Park_2015-10-15,Wollemi_2015-10-qq,Wollemi_2015-10-qq,,,Bilpin,Central_West,helianthi,,,
NSW1006757,Wollemi_National_Park_2015-10-17,-33.49137,150.49821,No_data,Wollemi_National_Park_2015-10-17,Wollemi_2015-10-qq,Wollemi_2015-10-qq,,,Bilpin,Central_West,helianthi,,,
NSW933230,Wollemi_National_Park_2015-11-10,-33.49154,150.49832,No_data,Wollemi_National_Park_2015-11-10,Wollemi_2015-10-qq,Wollemi_2015-10-qq,,,Bilpin,Central_West,helianthi,,,
