sample,site,lat,long,pik,RR1,RR2,RR3
NSW1009818,S82_2016-04-12,-32.642769,152.18852,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12
NSW1021818,S303_2017-05-10,-31.014904,149.396217,popnInfo1468,S303_2017-05-10,S303_2017-05-10,S303_2017-05-10
NSW1009774,S46_2016-04-19,-33.526151,151.399507,popnInfo000682,S46_2016-04-19,S46_2016-04-19,S46_2016-04-19
NSW1014660,S202_2016-04-16,-31.630067,152.826836,popnInfo000215,S202_2016-04-16,S202_2016-04-16,
NSW1009806,S46_2016-04-19,-33.526174,151.399528,popnInfo000682,S46_2016-04-19,S46_2016-04-19,S46_2016-04-19
NSW1020241,S159_2017-03-15,-33.193796,151.618438,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15
NSW1014615,S202_2016-04-16,-31.630228,152.826737,popnInfo000215,S202_2016-04-16,S202_2016-04-16,
NSW932966,S34_2015-09-17,-33.407403,150.942395,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1006987,S43_2015-10-16,-33.791517,151.145788,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16
NSW1006891,Wollemi_National_Park_2015-10-15,-33.49153,150.49847,No_data,Wollemi_National_Park_2015-10-15,Wollemi_2015-10-qq,Wollemi_2015-10-qq
NSW1006873,S46_2015-11-11,-34.325441,150.475397,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1010514,S244_2016-05-11,-34.037928,151.215155,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1012565,S17_2016-07-21,-33.475156,150.776567,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW1012329,S27_2016-03-18,-33.662607,150.611356,popnInfo001364,S27_2016-03-18,S27_2016-03-18,S27_2016-03-18
NSW1009832,S46_2016-04-19,-33.526092,151.399415,popnInfo000682,S46_2016-04-19,S46_2016-04-19,S46_2016-04-19
NSW1011113,S30_2016-03-18,-33.667834,150.544704,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18
NSW1017177,S50_2016-08-18,-33.68191,151.152294,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1027022,S687_2017-08-18,-33.261418,150.641116,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18
NSW1018189,S441_2017-05-27,-29.177472,153.39086,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27
NSW1006798,S46_2015-11-11,-34.325318,150.475527,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1020339,S180_2017-03-29,-35.109122,150.660562,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29
NSW1007434,Wooli_2015-11-10,-29.826948,153.272381,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
NSW1021706,S321_2017-05-10,-30.540808,149.667227,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW1027024,S687_2017-08-18,-33.261318,150.641461,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18
NSW1011013,S37_2016-04-13,-33.59581,150.337221,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1020239,S159_2017-03-15,-33.193766,151.618447,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15
NSW1019728,S159_2017-03-15,-33.196372,151.621327,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15
NSW932569,Blue_Mountains_National_Park_2015-06-11,-33.57976,150.36446,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11
NSW1010487,S244_2016-05-11,-34.037474,151.215096,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1008774,S21_2016-03-14,-33.818784,151.299358,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW1006893,Wollemi_National_Park_2015-10-15,-33.49162,150.49837,No_data,Wollemi_National_Park_2015-10-15,Wollemi_2015-10-qq,Wollemi_2015-10-qq
